nomor_pendaftaran,kode_mata_pelajaran,nilai_tka
426838134,401240000,73.14
426362608,300210000,23.70
426404566,300110000,36.35
426394059,300130000,68.93
426571742,300210000,12.43
426476776,300210000,5.00
426667813,401250100,34.68
426128833,401000000,32.18
426516592,300110000,49.55
426166695,600070100,64.63
426136338,300110000,63.96
426341563,300210000,23.16
426138986,600070100,54.64
426312501,300110000,59.46
426519202,401130000,50.55
426443406,300130000,78.89
426457824,401000000,60.25
426530338,401130100,35.27
426166678,300210000,23.07
426602330,300110000,49.95
426564653,401000000,41.31
426435870,401130000,43.17
426254636,401110200,45.47
426199443,401110200,40.02
426336130,300210000,25.55
426514927,300210000,5.00
426462133,401130100,43.90
426496153,300130000,75.59
426230480,300110000,51.49
426464600,401241000,65.19
426421927,401000000,39.60
426254553,300210000,21.67
426118420,401130000,56.74
426348384,300210000,21.28
426700341,300210000,19.67
426587940,401241000,78.47
426398262,401130000,31.97
426329985,300110000,57.06
426468206,401002000,42.54
426496153,300210000,17.81
426804377,401000000,5.00
426135799,300210000,5.00
426390863,401110200,57.07
426390950,401230000,64.45
