npsn,nama_sekolah,jenis_sekolah,kode_kabupaten,nama_kabupaten,kode_provinsi,nama_provinsi,akreditasi_sekolah,tanggal_mulai_akreditasi,tanggal_kadaluarsa,nilai_akreditasi,kepemilikan,sumber_data_nilai
69948376,SMK NEGERI KUSUMA PAGINDAR,SMK,071800,Kab. Pakpak Bharat,070000,Prov. Sumatera Utara,C,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
69949251,SMK NEGERI PERIKANAN SIMEULUE BARAT,SMK,061100,Kab. Simeulue,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Pusat,Isi Manual
69949446,SMA Negeri 3 Sinabang,SMA,061100,Kab. Simeulue,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
69955604,Darurahmah Sepadan,MA,066400,Kota Subulussalam,060000,Prov. Aceh,C,12-12-2023,01-01-1900,74,Lainnya,Isi Manual
69962012,SMK NEGERI 2 SIMPANG KIRI,SMK,066400,Kota Subulussalam,060000,Prov. Aceh,B,12-12-2023,12-12-2028,87,Pemerintah Daerah,Isi Manual
69963563,MAS TUNAS ULAMA MA`HAD AL ABQARY,MA,286200,Kota Serang,280000,Prov. Banten,A,12-12-2023,12-12-2028,92,Lainnya,Isi Manual
69970305,SMA Swasta Terpadu Al-Furqan,SMA,061200,Kab. Bireuen,060000,Prov. Aceh,B,15-10-2021,15-10-2026,81,Yayasan,Isi Manual
69981914,SMA NEGERI 8 SUBULUSSALAM,SMA,066400,Kota Subulussalam,060000,Prov. Aceh,C,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
69985502,SMA SWASTA UMBUL MAS WISESA,SMA,072600,Kab. Labuhanbatu Selatan,070000,Prov. Sumatera Utara,B,18-10-2021,18-10-2026,88,Yayasan,Isi Manual
69987232,SMAN 2 RANAH BATAHAN,SMA,081300,Kab. Pasaman Barat,080000,Prov. Sumatera Barat,B,08-04-2022,08-04-2027,85,Pemerintah Daerah,Isi Manual
69989237,SMA Keberbakatan Olahraga Negeri Aceh,SMA,066100,Kota Banda Aceh,060000,Prov. Aceh,B,08-04-2022,08-04-2027,85,Pemerintah Daerah,Isi Manual
70003803,SMK Negeri 6 Aceh Singkil,SMK,061300,Kab. Aceh Singkil,060000,Prov. Aceh,C,26-09-2023,26-09-2028,78,Pemerintah Daerah,Isi Manual
70011942,SMA Plus Golden Madani,SMA,086400,Kota Solok,080000,Prov. Sumatera Barat,A,28-11-2023,28-11-2028,92,Yayasan,Isi Manual
70013416,SMA IT Darul Mutaallimin,SMA,060600,Kab. Aceh Barat,060000,Prov. Aceh,B,26-09-2023,26-09-2028,87,Yayasan,Isi Manual
70024106,SMA IT Nurul Ikhwah,SMA,061500,Kab. Nagan Raya,060000,Prov. Aceh,A,06-01-2025,06-01-2030,0,Yayasan,Isi Manual
70041490,SMA Swasta Darul Istiqamah,SMA,060800,Kab. Aceh Tenggara,060000,Prov. Aceh,C,19-12-2025,31-12-2030,0,Yayasan,Isi Manual
70045455,MA Ruhul Qur`ani,MA,060600,Kab. Aceh Barat,060000,Prov. Aceh,A,19-12-2025,31-12-2030,0,Yayasan,Isi Manual
70049149,MA Islam Terpadu Teuku Umar Aceh Barat,MA,060600,Kab. Aceh Barat,060000,Prov. Aceh,A,18-02-2025,31-12-2029,0,Yayasan,Isi Manual
70050033,SMA Plus Ulumul Quran Aceh Selatan,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,19-12-2025,31-12-2030,0,Yayasan,Isi Manual
